lat,lon
43.4133,-124.2436
44.6431,-124.0556
41.7803,-124.2367
55.0389,-131.5786
58.3567,-134.5639
58.4111,-135.7089
59.2433,-135.5094
55.3567,-131.7117
56.8056,-132.9372
61.5961,-149.0917
57.0481,-135.3647
59.4556,-135.3239
59.5119,-139.6711
55.58,-133.075
57.7511,-152.4856
58.6794,-156.6294
59.7494,-154.9089
59.6419,-151.4908
59.4433,-151.7017
55.2208,-162.7325
56.6,-169.565
51.8833,-176.65
57.1553,-170.2222
61.25,-149.8
61.2169,-149.855
60.4889,-145.4511
64.8039,-147.8761
62.9614,-141.9292
63.9944,-145.7214
64.7767,-141.1483
62.1592,-145.4589
64.55,-149.0717
60.1283,-149.4167
61.1303,-146.3517
61.1689,-150.0278
61.1781,-149.9664
60.785,-148.8389
64.9736,-147.51
64.7367,-156.9344
64.3267,-158.7417
69.3694,-152.14
62.9575,-155.6103
63.9033,-152.2817
61.9772,-151.2169
60.5797,-151.2392
62.32,-150.095
65.1744,-152.1069
66.9161,-151.5089
60.785,-161.8292
66.8667,-162.6333
64.5111,-165.44
65.6239,-168.0992
67.7317,-164.5483
70.1917,-148.4772
71.2833,-156.7814
70.6392,-159.995
70.2117,-151.0017
52.7167,174.1
36.3189,-119.6289
33.0375,-116.9158
33.2194,-117.3494
36.2117,-115.1958
32.2394,-111.1697
31.5908,-110.5086
36.6239,-116.0225
39.0117,-114.2089
36.6019,-117.145
34.9883,-117.8647
38.3028,-111.2936
37.7592,-119.8208
33.4392,-117.1903
34.4142,-119.8797
32.835,-114.1883
35.7553,-112.3375
39.4781,-88.2803
33.3633,-84.5658
31.4156,-87.0442
34.2719,-83.8303
38.1847,-84.9033
39.825,-86.2958
31.3089,-86.3939
39.7556,-82.6572
30.7044,-87.0231
30.5069,-86.9597
34.6719,-82.8864
34.6525,-86.9453
30.4,-86.4717
33.4617,-80.8581
39.3644,-84.5247
30.4636,-88.5319
39.5936,-84.2264
30.3361,-81.5147
30.0719,-83.5736
33.875,-84.3022
33.1783,-86.7817
30.3433,-89.8222
39.5781,-85.8033
33.9706,-80.9958
36.0236,-84.2375
35.9403,-89.8308
35.1967,-81.1558
34.9869,-81.0575
35.0169,-80.6206
34.1231,-84.8486
34.2486,-82.1592
35.4944,-82.6142
35.4186,-82.5567
38.9597,-94.3714
36.8781,-91.9025
30.3567,-95.4139
30.7439,-95.5861
38.9286,-90.4281
32.5428,-93.745
32.6636,-97.0939
36.0394,-95.9844
32.9733,-97.3181
30.0675,-95.5561
32.71,-96.2672
32.0311,-96.3989
35.8517,-97.4142
33.1803,-96.5903
30.0375,-91.8839
39.8233,-93.5792
30.0494,-90.0289
36.3689,-92.4703
33.6361,-91.7556
